"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"37","MZ",38,0.0823197127177347,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"38","SVZ",45,0.246959138153204,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"39","All",83,0.329278850870939,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"40","MZ",29,0.0776509834446399,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"41","SVZ",31,0.231994296217319,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"42","All",60,0.309645279661959,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"43","MZ",40,0.0957775001471733,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"44","SVZ",40,0.286185464511614,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"45","All",80,0.381962964658787,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"46","MZ",26,0.0772218915365546,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"47","SVZ",23,0.230688182311733,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"48","All",49,0.307910073848287,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"49","MZ",27,0.0627782392841491,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"50","SVZ",32,0.188334717852447,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"51","All",59,0.251112957136596,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"52","MZ",32,0.0845918066993282,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"53","SVZ",50,0.252762344568651,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"54","All",82,0.33735415126798,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"55","MZ",26,0.0979920330191456,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"56","SVZ",25,0.294612410960158,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"57","All",51,0.392604443979304,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"58","MZ",33,0.0716635814784048,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"59","SVZ",26,0.214122094962749,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"60","All",59,0.285785676441154,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"61","MZ",29,0.0760759021722778,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"62","SVZ",27,0.227743146630386,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"63","All",56,0.303819048802663,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"64","MZ",28,0.0960150705450644,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"65","SVZ",41,0.286837474898777,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"66","All",69,0.382852545443842,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"67","MZ",50,0.10705947763293,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"68","SVZ",62,0.321178432898791,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"69","All",112,0.428237910531721,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"70","MZ",33,0.0871789169353942,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"71","SVZ",38,0.262159457355721,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"72","All",71,0.349338374291115,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"73","MZ",42,0.0895598537424533,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"74","SVZ",39,0.267656020041732,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"75","All",81,0.357215873784185,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"76","MZ",35,0.0866870310895402,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"77","SVZ",56,0.260061093268621,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"78","All",91,0.346748124358161,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"79","MZ",24,0.0770104852794003,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"80","SVZ",40,0.231489851583912,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"81","All",64,0.308500336863312,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"82","MZ",20,0.0727237524610645,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"83","SVZ",45,0.217325632354576,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"84","All",65,0.290049384815641,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"85","MZ",37,0.0737493867779515,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"86","SVZ",43,0.221248160333854,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"87","All",80,0.294997547111806,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"88","MZ",40,0.0823856463523917,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_006.OME","E16.5","Elfn1+/-::SSTcre"
"89","SVZ",47,0.247659290559324,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_006.OME","E16.5","Elfn1+/-::SSTcre"
"90","All",87,0.330044936911716,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_006.OME","E16.5","Elfn1+/-::SSTcre"
"91","MZ",19,0.0725112996382807,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_007.OME","E16.5","Elfn1+/-::SSTcre"
"92","SVZ",32,0.217533898914842,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_007.OME","E16.5","Elfn1+/-::SSTcre"
"93","All",51,0.290045198553123,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_007.OME","E16.5","Elfn1+/-::SSTcre"
"94","MZ",28,0.0555098409874347,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_008.OME","E16.5","Elfn1+/-::SSTcre"
"95","SVZ",26,0.166885355276326,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_008.OME","E16.5","Elfn1+/-::SSTcre"
"96","All",54,0.222395196263761,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_008.OME","E16.5","Elfn1+/-::SSTcre"
"97","MZ",41,0.0921312654940771,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_009.OME","E16.5","Elfn1+/-::SSTcre"
"98","SVZ",61,0.27529699570254,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_009.OME","E16.5","Elfn1+/-::SSTcre"
"99","All",102,0.367428261196617,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_009.OME","E16.5","Elfn1+/-::SSTcre"
"100","MZ",26,0.0755714575388701,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_010.OME","E16.5","Elfn1+/-::SSTcre"
"101","SVZ",38,0.227178001190468,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_010.OME","E16.5","Elfn1+/-::SSTcre"
"102","All",64,0.302749458729339,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_010.OME","E16.5","Elfn1+/-::SSTcre"
"103","MZ",40,0.0858769892923254,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_011.OME","E16.5","Elfn1+/-::SSTcre"
"104","SVZ",43,0.258181461398081,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_011.OME","E16.5","Elfn1+/-::SSTcre"
"105","All",83,0.344058450690406,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_011.OME","E16.5","Elfn1+/-::SSTcre"
"106","MZ",27,0.0649749805404203,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_012.OME","E16.5","Elfn1+/-::SSTcre"
"107","SVZ",27,0.194924941621261,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_012.OME","E16.5","Elfn1+/-::SSTcre"
"108","All",54,0.259899922161681,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_012.OME","E16.5","Elfn1+/-::SSTcre"
"109","MZ",40,0.0976550388864542,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_013.OME","E16.5","Elfn1+/-::SSTcre"
"110","SVZ",45,0.292965116659362,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_013.OME","E16.5","Elfn1+/-::SSTcre"
"111","All",85,0.390620155545817,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_013.OME","E16.5","Elfn1+/-::SSTcre"
"112","MZ",44,0.0886713195230277,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_014.OME","E16.5","Elfn1+/-::SSTcre"
"113","SVZ",42,0.264919250920651,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_014.OME","E16.5","Elfn1+/-::SSTcre"
"114","All",86,0.353590570443678,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_014.OME","E16.5","Elfn1+/-::SSTcre"
"115","MZ",27,0.0627667270622249,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_015.OME","E16.5","Elfn1+/-::SSTcre"
"116","SVZ",23,0.187500605045754,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_015.OME","E16.5","Elfn1+/-::SSTcre"
"117","All",50,0.250267332107979,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_015.OME","E16.5","Elfn1+/-::SSTcre"
"118","MZ",38,0.0760759021722778,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_016.OME","E16.5","Elfn1+/-::SSTcre"
"119","SVZ",37,0.228227706516833,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_016.OME","E16.5","Elfn1+/-::SSTcre"
"120","All",75,0.304303608689111,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_016.OME","E16.5","Elfn1+/-::SSTcre"
"121","MZ",21,0.0491519547883648,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_017.OME","E16.5","Elfn1+/-::SSTcre"
"122","SVZ",18,0.147772973750826,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_017.OME","E16.5","Elfn1+/-::SSTcre"
"123","All",39,0.196924928539191,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_017.OME","E16.5","Elfn1+/-::SSTcre"
"124","MZ",32,0.0783762534258672,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_018.OME","E16.5","Elfn1+/-::SSTcre"
"125","SVZ",34,0.235627972082862,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_018.OME","E16.5","Elfn1+/-::SSTcre"
"126","All",66,0.314004225508729,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_018.OME","E16.5","Elfn1+/-::SSTcre"
"127","MZ",36,0.0952531707668055,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_019.OME","E16.5","Elfn1+/-::SSTcre"
"128","SVZ",55,0.285189134032352,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_019.OME","E16.5","Elfn1+/-::SSTcre"
"129","All",91,0.380442304799157,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_019.OME","E16.5","Elfn1+/-::SSTcre"
"130","MZ",40,0.0768597798287557,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_020.OME","E16.5","Elfn1+/-::SSTcre"
"131","SVZ",36,0.230045591015234,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_020.OME","E16.5","Elfn1+/-::SSTcre"
"132","All",76,0.30690537084399,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_020.OME","E16.5","Elfn1+/-::SSTcre"
"133","MZ",35,0.0865300462451187,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_021.OME","E16.5","Elfn1+/-::SSTcre"
"134","SVZ",47,0.259590138735356,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_021.OME","E16.5","Elfn1+/-::SSTcre"
"135","All",82,0.346120184980475,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_021.OME","E16.5","Elfn1+/-::SSTcre"
"136","MZ",23,0.0793799098645352,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_022.OME","E16.5","Elfn1+/-::SSTcre"
"137","SVZ",45,0.238139729593605,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_022.OME","E16.5","Elfn1+/-::SSTcre"
"138","All",68,0.317519639458141,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_022.OME","E16.5","Elfn1+/-::SSTcre"
"139","MZ",20,0.0819460887880116,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_001.OME","E16.5","Elfn1-/-::SSTcre"
"140","SVZ",43,0.245838266364035,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_001.OME","E16.5","Elfn1-/-::SSTcre"
"141","All",63,0.327784355152046,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_001.OME","E16.5","Elfn1-/-::SSTcre"
"142","MZ",33,0.0919617218621019,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_002.OME","E16.5","Elfn1-/-::SSTcre"
"143","SVZ",44,0.27535664994342,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_002.OME","E16.5","Elfn1-/-::SSTcre"
"144","All",77,0.367318371805522,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_002.OME","E16.5","Elfn1-/-::SSTcre"
"145","MZ",17,0.0838675832837305,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_003.OME","E16.5","Elfn1-/-::SSTcre"
"146","SVZ",45,0.251602749851191,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_003.OME","E16.5","Elfn1-/-::SSTcre"
"147","All",62,0.335470333134922,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_003.OME","E16.5","Elfn1-/-::SSTcre"
