"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"50",27,0.38417,"RCE","L6","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"51",0,0.092944,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"52",1,0.32685,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"53",1,0.21997,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"54",23,0.33615,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"55",14,0.38417,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"56",0,0.092944,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"57",34,0.32685,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"58",71,0.21997,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"59",32,0.33615,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"60",13,0.38417,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_004","Mafb+/fl","P21"
"61",0,0.14647,"RCE","L1","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"62",19,0.3636,"RCE","L23","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"63",29,0.26193,"RCE","L4","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"64",63,0.34464,"RCE","L5","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"65",44,0.48422,"RCE","L6","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"66",0,0.14647,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"67",3,0.3636,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"68",2,0.26193,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"69",20,0.34464,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"70",22,0.48422,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"71",0,0.14647,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"72",32,0.3636,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"73",110,0.26193,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"74",28,0.34464,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"75",24,0.48422,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_005","Mafb+/fl","P21"
"76",0,0.15836,"RCE","L1","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"77",28,0.41172,"RCE","L23","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"78",25,0.25337,"RCE","L4","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"79",67,0.3577,"RCE","L5","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"80",36,0.50487,"RCE","L6","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"81",0,0.15836,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"82",5,0.41172,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"83",2,0.25337,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"84",25,0.3577,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"85",14,0.50487,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"86",8,0.15836,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"87",87,0.41172,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"88",93,0.25337,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"89",33,0.3577,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"90",17,0.50487,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_006","Mafb+/fl","P21"
"91",1,0.14604,"RCE","L1","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"92",13,0.3881,"RCE","L23","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"93",20,0.31608,"RCE","L4","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"94",68,0.42811,"RCE","L5","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"95",37,0.50012,"RCE","L6","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"96",0,0.14604,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"97",2,0.3881,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"98",1,0.31608,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"99",25,0.42811,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"100",16,0.50012,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"101",1,0.14604,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"102",35,0.3881,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"103",90,0.31608,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
