brain,field,meanINT,genotype,area
270416_m91_L2,F10,118.295,Mafb+/fl,L3
270416_m91_L2,F11,197.365,Mafb+/fl,L1
270416_m91_L2,F11,102.892,Mafb+/fl,L3
270416_m91_R1,F1,162.331,Mafb-fl/fl,L1
270416_m91_R1,F1,124.494,Mafb-fl/fl,L3
270416_m91_R1,F2,228.476,Mafb-fl/fl,L1
270416_m91_R1,F2,126.731,Mafb-fl/fl,L3
270416_m91_R1,F3,224.048,Mafb-fl/fl,L1
270416_m91_R1,F3,147.684,Mafb-fl/fl,L3
270416_m91_R1,F4,174.653,Mafb-fl/fl,L1
270416_m91_R1,F4,122.552,Mafb-fl/fl,L3
270416_m91_R1,F5,157.327,Mafb-fl/fl,L1
270416_m91_R1,F5,125.049,Mafb-fl/fl,L3
270416_m91_R1,F6,277.654,Mafb-fl/fl,L1
270416_m91_R1,F6,143.948,Mafb-fl/fl,L3
270416_m91_R1,F7,266.299,Mafb-fl/fl,L1
270416_m91_R1,F7,116.543,Mafb-fl/fl,L3
270416_m91_R1,F8,232.334,Mafb-fl/fl,L1
270416_m91_R1,F8,150.317,Mafb-fl/fl,L3
270416_m91_R1,F9,183.656,Mafb-fl/fl,L1
270416_m91_R1,F9,111.239,Mafb-fl/fl,L3
270416_m91_R1,F10,140.722,Mafb-fl/fl,L1
270416_m91_R1,F10,133.556,Mafb-fl/fl,L3
270416_m91_R1,F11,230.55,Mafb-fl/fl,L1
270416_m91_R1,F11,153.41,Mafb-fl/fl,L3
270416_m91_R1,F12,207.171,Mafb-fl/fl,L1
270416_m91_R1,F12,134.07,Mafb-fl/fl,L3
270416_m91_R1,F13,158.603,Mafb-fl/fl,L1
270416_m91_R1,F13,135.783,Mafb-fl/fl,L3
171215_B2A,F1,228.855,Mafb+/fl,L1
171215_B2A,F1,111.847,Mafb+/fl,L3
171215_B2A,F2,235.651,Mafb+/fl,L1
171215_B2A,F2,116.938,Mafb+/fl,L3
171215_B2A,F3,233.01,Mafb+/fl,L1
171215_B2A,F3,106.699,Mafb+/fl,L3
171215_B2A,F4,166.259,Mafb+/fl,L1
171215_B2A,F4,99.535,Mafb+/fl,L3
171215_B2A,F5,193.734,Mafb+/fl,L1
171215_B2A,F5,102.587,Mafb+/fl,L3
171215_B2A,F6,244.864,Mafb+/fl,L1
171215_B2A,F6,124.749,Mafb+/fl,L3
171215_B2A,F7,218.597,Mafb+/fl,L1
171215_B2A,F7,96.071,Mafb+/fl,L3
171215_B2A,F8,166.519,Mafb+/fl,L1
171215_B2A,F8,107.292,Mafb+/fl,L3
171215_B2A,F9,195.652,Mafb+/fl,L1
171215_B2A,F9,115.871,Mafb+/fl,L3
171215_B4A,F1,263.669,Mafb-fl/fl,L1
171215_B4A,F1,160.237,Mafb-fl/fl,L3
171215_B4A,F2,420.697,Mafb-fl/fl,L1
171215_B4A,F2,182.613,Mafb-fl/fl,L3
171215_B4A,F3,369.654,Mafb-fl/fl,L1
171215_B4A,F3,149.081,Mafb-fl/fl,L3
171215_B4A,F4,378.344,Mafb-fl/fl,L1
171215_B4A,F4,186.907,Mafb-fl/fl,L3
171215_B4A,F5,469.342,Mafb-fl/fl,L1
171215_B4A,F5,184.737,Mafb-fl/fl,L3
171215_B4A,F6,352.859,Mafb-fl/fl,L1
171215_B4A,F6,189.881,Mafb-fl/fl,L3
171215_B4A,F7,358.889,Mafb-fl/fl,L1
171215_B4A,F7,154.345,Mafb-fl/fl,L3
171215_B4A,F8,346.789,Mafb-fl/fl,L1
171215_B4A,F8,140.839,Mafb-fl/fl,L3
171215_B4A,F9,345.336,Mafb-fl/fl,L1
171215_B4A,F9,163.632,Mafb-fl/fl,L3
171215_B4A,F10,345.22,Mafb-fl/fl,L1
171215_B4A,F10,146.938,Mafb-fl/fl,L3
