"","GFP","Areamm2","Region","Brainno","Age","imagename"
"71",76,0.0439667131118202,"MZ","070516_B2","E15.5","070516_b2_s006"
"72",191,0.249144707633648,"SVZ","070516_B2","E15.5","070516_b2_s006"
"73",112,0.0480405803510178,"MZ","070516_B2","E15.5","070516_b2_s007"
"74",306,0.272229955322434,"SVZ","070516_B2","E15.5","070516_b2_s007"
"75",96,0.0422099964946997,"MZ","070516_B2","E15.5","070516_b2_s008"
"76",407,0.239189980136632,"SVZ","070516_B2","E15.5","070516_b2_s008"
"77",109,0.0424268750894059,"MZ","070516_B2","E15.5","070516_b2_s009"
"78",436,0.240418958839967,"SVZ","070516_B2","E15.5","070516_b2_s009"
"79",138,0.0517516688499796,"MZ","070516_B3","E15.5","070516_b3_s001"
"80",420,0.293259456816551,"SVZ","070516_B3","E15.5","070516_b3_s001"
"81",126,0.0454301507201901,"MZ","070516_B3","E15.5","070516_b3_s002"
"82",392,0.257437520747744,"SVZ","070516_B3","E15.5","070516_b3_s002"
"83",138,0.0501107851186682,"MZ","070516_B3","E15.5","070516_b3_s003"
"84",489,0.283961115672453,"SVZ","070516_B3","E15.5","070516_b3_s003"
"85",101,0.0401397917270493,"MZ","070516_B3","E15.5","070516_b3_s004"
"86",317,0.227458819786613,"SVZ","070516_B3","E15.5","070516_b3_s004"
"87",127,0.051341078237729,"MZ","070516_B3","E15.5","070516_b3_s005"
"88",416,0.290932776680464,"SVZ","070516_B3","E15.5","070516_b3_s005"
"89",156,0.0513371349905525,"MZ","070516_B3","E15.5","070516_b3_s006"
"90",440,0.290910431613131,"SVZ","070516_B3","E15.5","070516_b3_s006"
"91",95,0.0421700711170379,"MZ","070516_B3","E15.5","070516_b3_s007"
"92",359,0.238963736329881,"SVZ","070516_B3","E15.5","070516_b3_s007"
"93",140,0.0579184145280924,"MZ","070516_B3","E15.5","070516_b3_s008"
"94",428,0.328204348992524,"SVZ","070516_B3","E15.5","070516_b3_s008"
"95",94,0.0378157404224133,"MZ","070516_B3","E15.5","070516_b3_s009"
"96",243,0.214289195727009,"SVZ","070516_B3","E15.5","070516_b3_s009"
"97",51,0.0225888914504478,"MZ","130516_B1","E14.5","130516_b1_s001"
"98",174,0.128003718219204,"SVZ","130516_B1","E14.5","130516_b1_s001"
"99",53,0.0265134082028364,"MZ","130516_B1","E14.5","130516_b1_s002"
"100",214,0.15024264648274,"SVZ","130516_B1","E14.5","130516_b1_s002"
"101",74,0.0310448153409797,"MZ","130516_B1","E14.5","130516_b1_s003"
"102",264,0.175920620265552,"SVZ","130516_B1","E14.5","130516_b1_s003"
"103",76,0.0367205035191468,"MZ","130516_B1","E14.5","130516_b1_s004"
"104",217,0.208082853275165,"SVZ","130516_B1","E14.5","130516_b1_s004"
"105",67,0.0333640608131194,"MZ","130516_B1","E14.5","130516_b1_s006"
"106",185,0.189063011274343,"SVZ","130516_B1","E14.5","130516_b1_s006"
"107",57,0.0296963480330989,"MZ","130516_B1","E14.5","130516_b1_s007"
"108",189,0.168279305520894,"SVZ","130516_B1","E14.5","130516_b1_s007"
"109",57,0.0204833206846834,"MZ","130516_B1","E14.5","130516_b1_s009"
"110",176,0.116072150546539,"SVZ","130516_B1","E14.5","130516_b1_s009"
"111",65,0.0342175273738781,"MZ","130516_B1","E14.5","130516_b1_s010"
"112",265,0.193899321785309,"SVZ","130516_B1","E14.5","130516_b1_s010"
"113",90,0.0454077235018739,"MZ","130516_B2","E14.5","130516_b2_s001"
"114",166,0.257310433177286,"SVZ","130516_B2","E14.5","130516_b2_s001"
"115",64,0.0342939277879224,"MZ","130516_B2","E14.5","130516_b2_s002"
"116",224,0.194332257464893,"SVZ","130516_B2","E14.5","130516_b2_s002"
"117",65,0.0364479265580729,"MZ","130516_B2","E14.5","130516_b2_s004"
"118",173,0.206538250495746,"SVZ","130516_B2","E14.5","130516_b2_s004"
"119",73,0.0366226616985805,"MZ","130516_B2","E14.5","130516_b2_s005"
"120",221,0.207528416291956,"SVZ","130516_B2","E14.5","130516_b2_s005"
"121",57,0.0295874158298487,"MZ","130516_B2","E14.5","130516_b2_s006"
"122",152,0.167662023035809,"SVZ","130516_B2","E14.5","130516_b2_s006"
"123",57,0.0284327837659865,"MZ","130516_B2","E14.5","130516_b2_s007"
"124",158,0.161119108007257,"SVZ","130516_B2","E14.5","130516_b2_s007"
"125",86,0.0382874513658993,"MZ","130516_B2","E14.5","130516_b2_s008"
"126",246,0.216962224406763,"SVZ","130516_B2","E14.5","130516_b2_s008"
"127",77,0.0483994158440772,"MZ","130516_B2","E14.5","130516_b2_s009"
"128",368,0.274263356449771,"SVZ","130516_B2","E14.5","130516_b2_s009"
"129",69,0.05169042529227,"MZ","130516_B2","E14.5","130516_b2_s010"
"130",322,0.29291240998953,"SVZ","130516_B2","E14.5","130516_b2_s010"
"131",71,0.0302920248096954,"MZ","130516_B3","E14.5","130516_b3_s001"
"132",316,0.171654807254941,"SVZ","130516_B3","E14.5","130516_b3_s001"
"133",57,0.0296586407319738,"MZ","130516_B3","E14.5","130516_b3_s002"
"134",163,0.168065630814518,"SVZ","130516_B3","E14.5","130516_b3_s002"
"135",72,0.0288398008104835,"MZ","130516_B3","E14.5","130516_b3_s003"
"136",240,0.163425537926073,"SVZ","130516_B3","E14.5","130516_b3_s003"
"137",55,0.0223127409216202,"MZ","130516_B3","E14.5","130516_b3_s004"
"138",271,0.126438865222514,"SVZ","130516_B3","E14.5","130516_b3_s004"
"139",57,0.0314911416307672,"MZ","130516_B3","E14.5","130516_b3_s005"
"140",227,0.178449802574347,"SVZ","130516_B3","E14.5","130516_b3_s005"
