"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"60","All",30,0,"091115-B1","091115-B1-s040","E16.5","Mafb+/+::SSTcre"
"61","MZ",14,0,"091115-B1","091115-B1-s042","E16.5","Mafb+/+::SSTcre"
"62","SVZ",15,0,"091115-B1","091115-B1-s042","E16.5","Mafb+/+::SSTcre"
"63","All",30,0,"091115-B1","091115-B1-s042","E16.5","Mafb+/+::SSTcre"
"64","MZ",10,0,"091115-B1","091115-B1-s044-2","E16.5","Mafb+/+::SSTcre"
"65","SVZ",12,0,"091115-B1","091115-B1-s044-2","E16.5","Mafb+/+::SSTcre"
"66","All",23,0,"091115-B1","091115-B1-s044-2","E16.5","Mafb+/+::SSTcre"
"67","MZ",8,0,"091115-B1","091115-B1-s044","E16.5","Mafb+/+::SSTcre"
"68","SVZ",6,0,"091115-B1","091115-B1-s044","E16.5","Mafb+/+::SSTcre"
"69","All",15,0,"091115-B1","091115-B1-s044","E16.5","Mafb+/+::SSTcre"
"70","MZ",7,0,"091115-B4","091115-B4-s002","E16.5","Mafb-fl/fl::SSTcre"
"71","SVZ",23,0,"091115-B4","091115-B4-s002","E16.5","Mafb-fl/fl::SSTcre"
"72","All",33,0,"091115-B4","091115-B4-s002","E16.5","Mafb-fl/fl::SSTcre"
"73","MZ",4,0,"091115-B4","091115-B4-s004","E16.5","Mafb-fl/fl::SSTcre"
"74","SVZ",13,0,"091115-B4","091115-B4-s004","E16.5","Mafb-fl/fl::SSTcre"
"75","All",19,0,"091115-B4","091115-B4-s004","E16.5","Mafb-fl/fl::SSTcre"
"76","MZ",12,0,"091115-B4","091115-B4-s006","E16.5","Mafb-fl/fl::SSTcre"
"77","SVZ",15,0,"091115-B4","091115-B4-s006","E16.5","Mafb-fl/fl::SSTcre"
"78","All",30,0,"091115-B4","091115-B4-s006","E16.5","Mafb-fl/fl::SSTcre"
"79","MZ",6,0,"091115-B4","091115-B4-s008","E16.5","Mafb-fl/fl::SSTcre"
"80","SVZ",13,0,"091115-B4","091115-B4-s008","E16.5","Mafb-fl/fl::SSTcre"
"81","All",20,0,"091115-B4","091115-B4-s008","E16.5","Mafb-fl/fl::SSTcre"
"82","MZ",8,0,"091115-B4","091115-B4-s010","E16.5","Mafb-fl/fl::SSTcre"
"83","SVZ",15,0,"091115-B4","091115-B4-s010","E16.5","Mafb-fl/fl::SSTcre"
"84","All",23,0,"091115-B4","091115-B4-s010","E16.5","Mafb-fl/fl::SSTcre"
"85","MZ",8,0,"091115-B4","091115-B4-s012","E16.5","Mafb-fl/fl::SSTcre"
"86","SVZ",19,0,"091115-B4","091115-B4-s012","E16.5","Mafb-fl/fl::SSTcre"
"87","All",29,0,"091115-B4","091115-B4-s012","E16.5","Mafb-fl/fl::SSTcre"
"88","MZ",15,0,"091115-B4","091115-B4-s014","E16.5","Mafb-fl/fl::SSTcre"
"89","SVZ",16,0,"091115-B4","091115-B4-s014","E16.5","Mafb-fl/fl::SSTcre"
"90","All",35,0,"091115-B4","091115-B4-s014","E16.5","Mafb-fl/fl::SSTcre"
"91","MZ",6,0,"091115-B4","091115-B4-s016","E16.5","Mafb-fl/fl::SSTcre"
"92","SVZ",27,0,"091115-B4","091115-B4-s016","E16.5","Mafb-fl/fl::SSTcre"
"93","All",34,0,"091115-B4","091115-B4-s016","E16.5","Mafb-fl/fl::SSTcre"
"94","MZ",5,0,"091115-B4","091115-B4-s018","E16.5","Mafb-fl/fl::SSTcre"
"95","SVZ",7,0,"091115-B4","091115-B4-s018","E16.5","Mafb-fl/fl::SSTcre"
"96","All",14,0,"091115-B4","091115-B4-s018","E16.5","Mafb-fl/fl::SSTcre"
"97","MZ",12,0,"091115-B4","091115-B4-s020","E16.5","Mafb-fl/fl::SSTcre"
"98","SVZ",20,0,"091115-B4","091115-B4-s020","E16.5","Mafb-fl/fl::SSTcre"
"99","All",32,0,"091115-B4","091115-B4-s020","E16.5","Mafb-fl/fl::SSTcre"
"100","MZ",2,0,"091115-B4","091115-B4-s022","E16.5","Mafb-fl/fl::SSTcre"
"101","SVZ",9,0,"091115-B4","091115-B4-s022","E16.5","Mafb-fl/fl::SSTcre"
"102","All",11,0,"091115-B4","091115-B4-s022","E16.5","Mafb-fl/fl::SSTcre"
"103","MZ",6,0,"091115-B4","091115-B4-s024","E16.5","Mafb-fl/fl::SSTcre"
"104","SVZ",15,0,"091115-B4","091115-B4-s024","E16.5","Mafb-fl/fl::SSTcre"
"105","All",25,0,"091115-B4","091115-B4-s024","E16.5","Mafb-fl/fl::SSTcre"
"106","MZ",7,0,"091115-B4","091115-B4-s026","E16.5","Mafb-fl/fl::SSTcre"
"107","SVZ",12,0,"091115-B4","091115-B4-s026","E16.5","Mafb-fl/fl::SSTcre"
"108","All",25,0,"091115-B4","091115-B4-s026","E16.5","Mafb-fl/fl::SSTcre"
"109","MZ",15,0,"091115-B4","091115-B4-s030","E16.5","Mafb-fl/fl::SSTcre"
"110","SVZ",6,0,"091115-B4","091115-B4-s030","E16.5","Mafb-fl/fl::SSTcre"
"111","All",23,0,"091115-B4","091115-B4-s030","E16.5","Mafb-fl/fl::SSTcre"
"112","MZ",13,0,"091115-B4","091115-B4-s032","E16.5","Mafb-fl/fl::SSTcre"
"113","SVZ",15,0,"091115-B4","091115-B4-s032","E16.5","Mafb-fl/fl::SSTcre"
"114","All",30,0,"091115-B4","091115-B4-s032","E16.5","Mafb-fl/fl::SSTcre"
"115","MZ",4,0,"091115-B4","091115-B4-s034","E16.5","Mafb-fl/fl::SSTcre"
"116","SVZ",20,0,"091115-B4","091115-B4-s034","E16.5","Mafb-fl/fl::SSTcre"
"117","All",27,0,"091115-B4","091115-B4-s034","E16.5","Mafb-fl/fl::SSTcre"
"118","MZ",11,0,"091115-B5","091115-B5-s002","E16.5","Mafb-fl/fl::SSTcre"
"119","SVZ",21,0,"091115-B5","091115-B5-s002","E16.5","Mafb-fl/fl::SSTcre"
"120","All",35,0,"091115-B5","091115-B5-s002","E16.5","Mafb-fl/fl::SSTcre"
"121","MZ",4,0,"091115-B5","091115-B5-s004","E16.5","Mafb-fl/fl::SSTcre"
"122","SVZ",13,0,"091115-B5","091115-B5-s004","E16.5","Mafb-fl/fl::SSTcre"
"123","All",18,0,"091115-B5","091115-B5-s004","E16.5","Mafb-fl/fl::SSTcre"
"124","MZ",2,0,"091115-B5","091115-B5-s006","E16.5","Mafb-fl/fl::SSTcre"
"125","SVZ",15,0,"091115-B5","091115-B5-s006","E16.5","Mafb-fl/fl::SSTcre"
"126","All",21,0,"091115-B5","091115-B5-s006","E16.5","Mafb-fl/fl::SSTcre"
"127","MZ",5,0,"091115-B5","091115-B5-s008","E16.5","Mafb-fl/fl::SSTcre"
"128","SVZ",18,0,"091115-B5","091115-B5-s008","E16.5","Mafb-fl/fl::SSTcre"
