"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"63","All",99,0.262528895022926,"B2","2_HE_S022-1","E16.5","Neto1+/-"
"64","MZ",37,0.0456470064952479,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"65","SVZ",39,0.136154002132377,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"66","All",76,0.181801008627625,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"67","MZ",54,0.0812710539569992,"B2","2_HE_S024-1","E16.5","Neto1+/-"
"68","SVZ",75,0.242764503110262,"B2","2_HE_S024-1","E16.5","Neto1+/-"
"69","All",129,0.324035557067261,"B2","2_HE_S024-1","E16.5","Neto1+/-"
"70","MZ",12,0.0767886133659513,"B2C","210915-B2-KO-S002","E16.5","Neto1-/-"
"71","SVZ",36,0.229903258089625,"B2C","210915-B2-KO-S002","E16.5","Neto1-/-"
"72","All",48,0.306691871455577,"B2C","210915-B2-KO-S002","E16.5","Neto1-/-"
"73","MZ",14,0.097195596575114,"B2C","210915-B2-KO-S004","E16.5","Neto1-/-"
"74","SVZ",28,0.291586789725342,"B2C","210915-B2-KO-S004","E16.5","Neto1-/-"
"75","All",42,0.388782386300456,"B2C","210915-B2-KO-S004","E16.5","Neto1-/-"
"76","MZ",11,0.0755787834982764,"B2C","210915-B2-KO-S006","E16.5","Neto1-/-"
"77","SVZ",29,0.226242371517716,"B2C","210915-B2-KO-S006","E16.5","Neto1-/-"
"78","All",40,0.301821155015993,"B2C","210915-B2-KO-S006","E16.5","Neto1-/-"
"79","MZ",17,0.0739398617225162,"B2C","210915-B2-KO-S008","E16.5","Neto1-/-"
"80","SVZ",24,0.220833720344582,"B2C","210915-B2-KO-S008","E16.5","Neto1-/-"
"81","All",41,0.294773582067098,"B2C","210915-B2-KO-S008","E16.5","Neto1-/-"
"82","MZ",25,0.0807467245766315,"B2C","210915-B2-KO-S010","E16.5","Neto1-/-"
"83","SVZ",36,0.242240173729894,"B2C","210915-B2-KO-S010","E16.5","Neto1-/-"
"84","All",61,0.322986898306526,"B2C","210915-B2-KO-S010","E16.5","Neto1-/-"
"85","MZ",14,0.0895441552580111,"B2C","210915-B2-KO-S012","E16.5","Neto1-/-"
"86","SVZ",24,0.268632465774033,"B2C","210915-B2-KO-S012","E16.5","Neto1-/-"
"87","All",38,0.358176621032044,"B2C","210915-B2-KO-S012","E16.5","Neto1-/-"
"88","MZ",18,0.0871747306728763,"B2C","210915-B2-KO-S014","E16.5","Neto1-/-"
"89","SVZ",21,0.260950674053676,"B2C","210915-B2-KO-S014","E16.5","Neto1-/-"
"90","All",39,0.348125404726552,"B2C","210915-B2-KO-S014","E16.5","Neto1-/-"
"91","MZ",13,0.0831046369398421,"B2C","210915-B2-KO-S016","E16.5","Neto1-/-"
"92","SVZ",17,0.248770743257828,"B2C","210915-B2-KO-S016","E16.5","Neto1-/-"
"93","All",30,0.33187538019767,"B2C","210915-B2-KO-S016","E16.5","Neto1-/-"
"94","MZ",23,0.0888952845677357,"B2C","210915-B2-KO-S018","E16.5","Neto1-/-"
"95","SVZ",26,0.266685853703207,"B2C","210915-B2-KO-S018","E16.5","Neto1-/-"
"96","All",49,0.355581138270943,"B2C","210915-B2-KO-S018","E16.5","Neto1-/-"
"97","MZ",18,0.079296184614177,"B2C","210915-B2-KO-S020","E16.5","Neto1-/-"
"98","SVZ",24,0.237888553842531,"B2C","210915-B2-KO-S020","E16.5","Neto1-/-"
"99","All",42,0.317184738456708,"B2C","210915-B2-KO-S020","E16.5","Neto1-/-"
"100","MZ",29,0.0740780083856071,"B2C","210915-B2-KO-S022","E16.5","Neto1-/-"
"101","SVZ",24,0.222234025156821,"B2C","210915-B2-KO-S022","E16.5","Neto1-/-"
"102","All",53,0.296312033542428,"B2C","210915-B2-KO-S022","E16.5","Neto1-/-"
"103","MZ",15,0.0614208436627181,"B2C","210915-B2-KO-S024","E16.5","Neto1-/-"
"104","SVZ",29,0.184262530988154,"B2C","210915-B2-KO-S024","E16.5","Neto1-/-"
"105","All",44,0.245683374650872,"B2C","210915-B2-KO-S024","E16.5","Neto1-/-"
"106","MZ",23,0.0765395307461359,"B2C","210915-B2-KO-S026","E16.5","Neto1-/-"
"107","SVZ",27,0.228618075496628,"B2C","210915-B2-KO-S026","E16.5","Neto1-/-"
"108","All",50,0.305157606242764,"B2C","210915-B2-KO-S026","E16.5","Neto1-/-"
"109","MZ",25,0.0788702324029801,"B2C","210915-B2-KO-S028","E16.5","Neto1-/-"
"110","SVZ",21,0.235507617035472,"B2C","210915-B2-KO-S028","E16.5","Neto1-/-"
"111","All",46,0.314377849438452,"B2C","210915-B2-KO-S028","E16.5","Neto1-/-"
"112","MZ",36,0.069625918197814,"B2C","210915-B2-KO-S030","E16.5","Neto1-/-"
"113","SVZ",28,0.208877754593442,"B2C","210915-B2-KO-S030","E16.5","Neto1-/-"
"114","All",64,0.278503672791256,"B2C","210915-B2-KO-S030","E16.5","Neto1-/-"
"115","MZ",40,0.102144805436908,"B3C","210915-B3-KO-S002","E16.5","Neto1-/-"
"116","SVZ",35,0.306434416310725,"B3C","210915-B3-KO-S002","E16.5","Neto1-/-"
"117","All",75,0.408579221747634,"B3C","210915-B3-KO-S002","E16.5","Neto1-/-"
"118","MZ",34,0.100008764987147,"B3C","210915-B3-KO-S004","E16.5","Neto1-/-"
"119","SVZ",48,0.300026294961441,"B3C","210915-B3-KO-S004","E16.5","Neto1-/-"
"120","All",82,0.400035059948587,"B3C","210915-B3-KO-S004","E16.5","Neto1-/-"
"121","MZ",17,0.0778644828330531,"B3C","210915-B3-KO-S006","E16.5","Neto1-/-"
"122","SVZ",31,0.23411254505138,"B3C","210915-B3-KO-S006","E16.5","Neto1-/-"
"123","All",48,0.311977027884433,"B3C","210915-B3-KO-S006","E16.5","Neto1-/-"
"124","MZ",22,0.0700110543494613,"B3C","210915-B3-KO-S008","E16.5","Neto1-/-"
"125","SVZ",32,0.209087067719337,"B3C","210915-B3-KO-S008","E16.5","Neto1-/-"
"126","All",54,0.279098122068799,"B3C","210915-B3-KO-S008","E16.5","Neto1-/-"
"127","MZ",13,0.0602099672294137,"B3C","210915-B3-KO-S010","E16.5","Neto1-/-"
"128","SVZ",26,0.17983241867858,"B3C","210915-B3-KO-S010","E16.5","Neto1-/-"
"129","All",39,0.240042385907994,"B3C","210915-B3-KO-S010","E16.5","Neto1-/-"
"130","MZ",21,0.0765395307461359,"B3C","210915-B3-KO-S012","E16.5","Neto1-/-"
"131","SVZ",51,0.230118850609297,"B3C","210915-B3-KO-S012","E16.5","Neto1-/-"
"132","All",72,0.306658381355433,"B3C","210915-B3-KO-S012","E16.5","Neto1-/-"
"133","MZ",29,0.0813181494103257,"B3C","210915-B3-KO-S014","E16.5","Neto1-/-"
"134","SVZ",39,0.244503895186452,"B3C","210915-B3-KO-S014","E16.5","Neto1-/-"
"135","All",68,0.325822044596778,"B3C","210915-B3-KO-S014","E16.5","Neto1-/-"
"136","MZ",35,0.0751109686619004,"B3C","210915-B3-KO-S016","E16.5","Neto1-/-"
"137","SVZ",46,0.224800204080298,"B3C","210915-B3-KO-S016","E16.5","Neto1-/-"
"138","All",81,0.299911172742198,"B3C","210915-B3-KO-S016","E16.5","Neto1-/-"
"139","MZ",23,0.0818518978813587,"B3C","210915-B3-KO-S018","E16.5","Neto1-/-"
"140","SVZ",28,0.244563549427332,"B3C","210915-B3-KO-S018","E16.5","Neto1-/-"
"141","All",51,0.326415447308691,"B3C","210915-B3-KO-S018","E16.5","Neto1-/-"
"142","MZ",22,0.0430871069655484,"B3C","210915-B3-KO-S020","E16.5","Neto1-/-"
"143","SVZ",20,0.173097768852899,"B3C","210915-B3-KO-S020","E16.5","Neto1-/-"
"144","All",42,0.216184875818447,"B3C","210915-B3-KO-S020","E16.5","Neto1-/-"
"145","MZ",32,0.0777137773824085,"B3C","210915-B3-KO-S022","E16.5","Neto1-/-"
"146","SVZ",33,0.233141332147226,"B3C","210915-B3-KO-S022","E16.5","Neto1-/-"
"147","All",65,0.310855109529634,"B3C","210915-B3-KO-S022","E16.5","Neto1-/-"
"148","MZ",23,0.0722444254027642,"B3C","210915-B3-KO-S024","E16.5","Neto1-/-"
"149","SVZ",24,0.215621823509789,"B3C","210915-B3-KO-S024","E16.5","Neto1-/-"
"150","All",47,0.287866248912553,"B3C","210915-B3-KO-S024","E16.5","Neto1-/-"
"151","MZ",26,0.0916958941922149,"B3C","210915-B3-KO-S026","E16.5","Neto1-/-"
"152","SVZ",44,0.273848548871344,"B3C","210915-B3-KO-S026","E16.5","Neto1-/-"
"153","All",70,0.365544443063559,"B3C","210915-B3-KO-S026","E16.5","Neto1-/-"
"154","MZ",19,0.0543921088951537,"B3C","210915-B3-KO-S028","E16.5","Neto1-/-"
"155","SVZ",16,0.162410240644684,"B3C","210915-B3-KO-S028","E16.5","Neto1-/-"
"156","All",35,0.216802349539838,"B3C","210915-B3-KO-S028","E16.5","Neto1-/-"
"157","MZ",25,0.0739712586914005,"B3C","210915-B3-KO-S030","E16.5","Neto1-/-"
"158","SVZ",33,0.221913776074201,"B3C","210915-B3-KO-S030","E16.5","Neto1-/-"
"159","All",58,0.295885034765602,"B3C","210915-B3-KO-S030","E16.5","Neto1-/-"
"160","MZ",23,0.0873086910734493,"B3C","210915-B3-KO-S032","E16.5","Neto1-/-"
"161","SVZ",15,0.261926073220348,"B3C","210915-B3-KO-S032","E16.5","Neto1-/-"
"162","All",38,0.349234764293797,"B3C","210915-B3-KO-S032","E16.5","Neto1-/-"
"163","MZ",14,0.0436627180617604,"B4C","210915-B4-WT-S002-1","E16.5","Neto1+/+"
"164","SVZ",19,0.130695115809028,"B4C","210915-B4-WT-S002-1","E16.5","Neto1+/+"
"165","All",33,0.174357833870788,"B4C","210915-B4-WT-S002-1","E16.5","Neto1+/+"
"166","MZ",17,0.0537683557799857,"B4C","210915-B4-WT-S002-2","E16.5","Neto1+/+"
"167","SVZ",25,0.161305067339957,"B4C","210915-B4-WT-S002-2","E16.5","Neto1+/+"
"168","All",42,0.215073423119943,"B4C","210915-B4-WT-S002-2","E16.5","Neto1+/+"
