"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"49",64,0.36335,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"50",39,0.47218,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"51",0,0.14569,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"52",13,0.37739,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"53",1,0.24574,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"54",8,0.36335,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"55",3,0.47218,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"56",0,0.14569,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"57",37,0.37739,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"58",24,0.24574,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"59",17,0.36335,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"60",9,0.47218,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_004","Mafb-fl/+","P21"
"61",2,0.19581,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"62",27,0.45169,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"63",36,0.33598,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"64",83,0.43166,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"65",46,0.58964,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"66",1,0.19581,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"67",13,0.45169,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
